Id,Model,Price,Age,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Automatic,cc,Doors,Cylinders,Weight
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,6,2002,110404,Diesel,90,0,0,2000,5,4,1255
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,11,2002,100250,Diesel,90,0,0,2000,5,4,1255
46,?TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,10,2002,84000,Diesel,90,0,0,2000,5,4,1270
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,6,2002,79375,Diesel,90,1,0,2000,5,4,1255
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,11,2002,75048,Petrol,97,1,0,1400,5,4,1110
49,?TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,11,2002,72215,Diesel,90,1,0,2000,5,4,1255
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,2,2002,64982,Petrol,192,1,0,1800,5,4,1195
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,11,2002,62636,Diesel,90,1,0,2000,5,4,1255
52,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,3,2002,57086,Petrol,97,1,0,1400,5,4,1110
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,7,2002,56000,Petrol,110,1,1,1600,5,4,1180
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,6,2002,49866,Petrol,192,1,0,1800,5,4,1195
55,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,8,2002,49163,Petrol,110,0,1,1600,5,4,1165
56,?TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,1,2002,45725,Petrol,110,1,0,1600,5,4,1075
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,5,2002,43210,Petrol,97,0,0,1400,5,4,1110
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,7,2002,43000,Petrol,97,0,0,1400,5,4,1110
59,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,10,2002,39704,Petrol,110,1,1,1600,5,4,1180
60,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,3,2002,38950,Petrol,110,1,0,1600,5,4,1130
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,11,2002,37400,Petrol,97,1,0,1400,5,4,1110
62,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,6,2002,37177,Petrol,110,0,0,1600,5,4,1130
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,2,2002,36544,Petrol,110,1,0,1600,5,4,1130
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,3,2002,33511,Petrol,110,1,0,1600,5,4,1130
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,6,2002,32809,Petrol,97,1,0,1400,5,4,1110
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,7,2002,32181,Petrol,110,1,0,1600,5,4,1075
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,5,2002,30993,Petrol,110,1,0,1600,5,4,1130
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,11,2002,30400,Petrol,97,1,0,1400,5,4,1110
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,11,2002,30000,Diesel,110,1,0,2000,5,4,1275
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,8,2002,29719,Petrol,97,1,0,1400,5,4,1110
71,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,5,2002,29206,Petrol,97,1,0,1400,5,4,1110
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,1,2002,29198,Petrol,97,1,0,1400,5,4,1060
73,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,5,2002,28817,Petrol,110,1,0,1598,5,4,1130
74,?TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,10,2002,28227,Petrol,97,1,0,1400,5,4,1110
75,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,5,2002,28000,Petrol,110,0,0,1600,5,4,1130
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,10,2002,28000,Petrol,110,1,0,1600,5,4,1115
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,2,2002,25266,Petrol,110,1,0,1600,5,4,1130
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,6,2002,23489,Petrol,110,0,0,1600,5,4,1115
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,4,2002,22575,Petrol,110,1,0,1600,5,4,1115
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,3,2002,22000,Petrol,97,1,0,1400,5,4,1110
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,8,2002,20019,Petrol,110,1,1,16000,5,4,1180
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,4,2002,20000,Petrol,110,1,0,1600,5,4,1115
83,?TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,8,2002,17003,Petrol,97,1,0,1400,5,4,1110
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,2,2002,16238,Petrol,110,1,1,1600,5,4,1180
85,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,8,2002,15414,Petrol,97,1,0,1400,5,4,1110
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,5,2002,8537,Petrol,110,1,0,1600,5,4,1130
87,?TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,3,2002,7000,Petrol,97,1,0,1400,5,4,1100
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,1,2003,66966,Diesel,90,1,0,2000,3,4,1245
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,2003,51884,Petrol,97,1,0,1400,3,4,1100
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,2,2003,50005,Diesel,110,1,0,2000,3,4,1265
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,1,2003,48110,Petrol,97,1,0,1400,3,4,1100
92,?TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,1,2003,37500,Diesel,90,1,0,2000,3,4,1260
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,5,2003,34472,Diesel,90,1,0,1995,3,4,1260
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,1,2003,33329,Petrol,97,1,0,1400,3,4,1100
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,1,2003,31850,Petrol,110,0,0,1600,3,4,1120
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,4,2003,30351,Diesel,90,1,0,1995,3,4,1260
97,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,2003,29435,Petrol,97,1,0,1400,3,4,1100
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,2,2003,25948,Petrol,97,1,0,1400,3,4,1100
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,10,2003,24500,Petrol,110,1,0,1600,3,4,1120
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,3,2003,23902,Petrol,97,1,0,1400,3,4,1100
101,?TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,1,2003,23175,Petrol,110,1,0,1600,3,4,1120
102,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,2,2003,19200,Petrol,97,1,0,1400,3,4,1100
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,8,2003,18000,Petrol,71,0,0,1400,3,4,1125
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,10,2003,16123,Petrol,110,1,0,1600,3,4,1105
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,10,2003,14635,Petrol,110,1,1,1600,3,4,1155
106,?TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,2,2003,13748,Petrol,97,1,0,1400,3,4,1100
107,?TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,7,2003,11500,Petrol,110,1,0,1600,3,4,1045
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,4,2003,10000,Petrol,97,1,0,1400,3,4,1100
109,?TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,1,2003,7187,Petrol,110,1,0,1600,3,4,1105
111,?TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,5,2004,1,Diesel,116,0,0,2000,5,4,1480
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,5,2004,4000,Diesel,116,1,0,2000,5,4,1480
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,5,2004,1500,Diesel,116,1,0,2000,5,4,1480
114,?TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,1,2004,13253,Diesel,116,1,0,2000,5,4,1320
115,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,1,2004,13253,Diesel,116,1,0,2000,5,4,1320
116,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,2,2004,10000,Diesel,116,1,0,2000,5,4,1270
117,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,1,2004,6000,Diesel,90,1,0,2000,5,4,1280
118,?TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,1,2004,10841,Diesel,90,1,0,2000,5,4,1270
119,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,2,2004,1,Petrol,110,1,0,1600,3,4,1105
120,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,1,2003,63000,Diesel,90,1,0,2000,5,4,1255
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,4,2003,57313,Diesel,110,1,0,2000,5,4,1275
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,8,2003,57037,Petrol,110,0,0,1600,5,4,1115
123,?TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,2,2003,51099,Diesel,90,1,0,2000,5,4,1255
124,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,7,2003,40010,Petrol,110,1,0,1600,5,4,1115
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,1,2003,39115,Petrol,110,1,0,1600,5,4,1130
126,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,4,2003,36012,Petrol,110,0,0,1600,5,4,1130
127,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,5,2003,36000,Petrol,110,1,0,1600,5,4,1130
128,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,1,2003,36000,Petrol,110,1,0,1600,5,4,1075
129,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,1,2003,35000,Petrol,97,1,0,1400,5,4,1110
130,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,4,2003,33740,Petrol,97,1,0,1400,5,4,1135
131,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,8,2003,33477,Petrol,110,1,0,1600,5,4,1075
132,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,1,2003,32627,Petrol,97,1,0,1400,5,4,1110
133,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,1,2003,29797,Petrol,97,1,0,1400,5,4,1110
134,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,2,2003,29441,Petrol,97,1,0,1400,5,4,1110
135,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,8,2003,29371,Petrol,110,1,0,1600,4,4,1105
136,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,1,2003,29000,Petrol,97,0,0,1400,5,4,1110
137,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,2,2003,27821,Petrol,97,0,0,1400,5,4,1110
138,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,2,2003,27371,Petrol,97,0,0,1400,5,4,1135
139,?TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,8,2003,25170,Petrol,110,1,0,1600,5,4,1105
140,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,11,10,2003,25000,Diesel,116,1,0,2000,5,4,1320
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,1,2003,23000,Petrol,110,1,0,1600,5,4,1130
142,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,1,2003,22588,Petrol,97,1,0,1400,5,4,1110
143,?TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,2,2003,21684,Petrol,192,1,0,1800,5,4,1185
144,?TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,8,2003,21428,Petrol,110,1,0,1600,5,4,1130
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,5,2003,20629,Petrol,110,1,0,1600,4,4,1090
146,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,6,2003,20270,Petrol,110,1,0,1600,5,4,1130
147,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,5,2003,20105,Petrol,97,0,0,1400,5,4,1110
148,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,1,2003,20000,Petrol,110,0,1,1600,5,4,1165
149,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,8,2003,19988,Petrol,110,1,0,1600,5,4,1130
150,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,2,2003,18328,Petrol,110,0,0,1600,5,4,1130
151,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,7,2003,17896,Petrol,110,1,1,1600,4,4,1150
152,?TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,1,2003,17300,Petrol,97,1,0,1400,5,4,1110
153,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,2,2003,17038,Petrol,110,0,0,1600,5,4,1130
154,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,11,2003,13747,Petrol,97,1,0,1400,5,4,1110
155,?TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,9,2003,13634,Petrol,110,1,0,1600,5,4,1115
156,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,8,2003,13178,Petrol,110,1,0,1600,5,4,1130
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,6,2003,13157,Petrol,97,1,0,1400,4,4,1085
158,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,5,2003,13000,Petrol,110,1,0,1600,4,4,1105
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,10,2003,12500,Petrol,110,1,0,1600,5,4,1115
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,4,2003,11999,Petrol,110,1,0,1600,5,4,1130
161,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,5,2003,11754,Petrol,110,0,1,1600,5,4,1180
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,5,2003,11000,Petrol,110,1,0,1600,4,4,1105
163,?TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,4,2003,10000,Petrol,110,0,0,1598,5,4,1105
164,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,12,2003,7650,Petrol,110,1,0,1600,5,4,1115
165,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,7,2003,6500,Petrol,110,1,0,1600,4,4,1100
166,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,10,2003,6155,Petrol,97,1,0,1400,5,4,1110
167,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,7,2003,6000,Petrol,110,0,0,1600,5,4,1130
168,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,7,2003,5459,Petrol,110,1,0,1600,5,4,1130
169,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,7,2003,5278,Petrol,110,1,1,1600,4,4,1150
170,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,9,2003,5000,Petrol,110,1,0,1600,5,4,1130
171,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,12,2003,1,Petrol,98,1,0,1400,4,4,1065
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,12,2003,1,Petrol,110,1,0,1600,5,4,1075
173,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,1,2004,11000,Petrol,110,1,0,1600,5,4,1130
174,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,1,2004,10077,Petrol,97,1,0,1400,5,4,1110
175,?TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,1,2004,10000,Petrol,97,1,0,1400,5,4,1110
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,1,2004,9788,Petrol,110,1,0,1600,5,4,1130
177,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,1,2004,8574,Petrol,110,1,0,1600,5,4,1130
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,1,2004,7000,Petrol,110,0,0,1600,5,4,1115
179,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,2,2004,6250,Petrol,110,1,0,1600,5,4,1115
180,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,1,2004,5000,Petrol,110,1,0,1600,5,4,1130
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,3,2004,3000,Petrol,110,0,0,1600,5,4,1130
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2,2004,2000,Petrol,110,0,0,1600,5,4,1075
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,2,2004,450,Petrol,97,1,0,1400,5,4,1110
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,7,2004,225,Petrol,97,1,0,1400,5,4,1110
185,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,7,2004,15,Petrol,110,1,0,1600,5,4,1130
